fullName,name,gene_id,summary,Protein_Domains
"KIT proto-oncogene, receptor tyrosine kinase",KIT,29,"This gene encodes a receptor tyrosine kinase. This gene was initially identified as a homolog of the feline sarcoma viral oncogene v-kit and is often referred to as proto-oncogene c-Kit. The canonical form of this glycosylated transmembrane protein has an N-terminal extracellular region with five immunoglobulin-like domains, a transmembrane region, and an intracellular tyrosine kinase domain at the C-terminus. Upon activation by its cytokine ligand, stem cell factor (SCF), this protein phosphorylates multiple intracellular proteins that play a role in in the proliferation, differentiation, migration and apoptosis of many cell types and thereby plays an important role in hematopoiesis, stem cell maintenance, gametogenesis, melanogenesis, and in mast cell development, migration and function. This protein can be a membrane-bound or soluble protein. Mutations in this gene are associated with gastrointestinal stromal tumors, mast cell disease, acute myelogenous leukemia, and piebaldism. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2020].","['Immunoglobulin-like beta-sandwich domain', 'Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily', 'Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase, receptor class III, conserved site', 'Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Tyrosine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Protein kinase, ATP binding site', 'Tyrosine-protein kinase, catalytic domain', 'Mast/stem cell growth factor receptor', 'Receptor Tyrosine Kinase']"
"KRAS proto-oncogene, GTPase",KRAS,30,"This gene, a Kirsten ras oncogene homolog from the mammalian ras gene family, encodes a protein that is a member of the small GTPase superfamily. A single amino acid substitution is responsible for an activating mutation. The transforming protein that results is implicated in various malignancies, including lung adenocarcinoma, mucinous adenoma, ductal carcinoma of the pancreas and colorectal carcinoma. Alternative splicing leads to variants encoding two isoforms that differ in the C-terminal region. [provided by RefSeq, Jul 2008].","['Small GTPase', 'Small GTPase, Ras-type', 'P-loop containing nucleoside triphosphate hydrolase', 'Small GTP-binding protein domain']"
mitogen-activated protein kinase kinase 1,MAP2K1,31,"The protein encoded by this gene is a member of the dual specificity protein kinase family, which acts as a mitogen-activated protein (MAP) kinase kinase. MAP kinases, also known as extracellular signal-regulated kinases (ERKs), act as an integration point for multiple biochemical signals. This protein kinase lies upstream of MAP kinases and stimulates the enzymatic activity of MAP kinases upon wide variety of extra- and intracellular signals. As an essential component of MAP kinase signal transduction pathway, this kinase is involved in many cellular processes such as proliferation, differentiation, transcription regulation and development. [provided by RefSeq, Jul 2008].","['Protein kinase domain', 'Protein kinase-like domain superfamily', 'MAP kinase kinase', 'Serine/threonine-protein kinase, active site', 'Protein kinase, ATP binding site']"
myocyte enhancer factor 2D,MEF2D,32,"This gene is a member of the myocyte-specific enhancer factor 2 (MEF2) family of transcription factors. Members of this family are involved in control of muscle and neuronal cell differentiation and development, and are regulated by class II histone deacetylases. Fusions of the encoded protein with Deleted in Azoospermia-Associated Protein 1 (DAZAP1) due to a translocation have been found in an acute lymphoblastic leukemia cell line, suggesting a role in leukemogenesis. The encoded protein may also be involved in Parkinson disease and myotonic dystrophy. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2012].","['Transcription factor, MADS-box', 'Holliday junction regulator protein family C-terminal', 'MADS MEF2-like', 'Transcription factor, MADS-box superfamily', 'MADS-box/MEF2 Transcription Factor']"
colony stimulating factor 1 receptor,CSF1R,33,"The protein encoded by this gene is the receptor for colony stimulating factor 1, a cytokine which controls the production, differentiation, and function of macrophages. This receptor mediates most if not all of the biological effects of this cytokine. Ligand binding activates the receptor kinase through a process of oligomerization and transphosphorylation. The encoded protein is a tyrosine kinase transmembrane receptor and member of the CSF1/PDGF receptor family of tyrosine-protein kinases. Mutations in this gene have been associated with a predisposition to myeloid malignancy. The first intron of this gene contains a transcriptionally inactive ribosomal protein L7 processed pseudogene oriented in the opposite direction. Alternative splicing results in multiple transcript variants. Expression of a splice variant from an LTR promoter has been found in Hodgkin lymphoma (HL), HL cell lines and anaplastic large cell lymphoma. [provided by RefSeq, Mar 2017].","['Immunoglobulin-like fold', 'Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin-like beta-sandwich domain', 'Immunoglobulin-like domain superfamily', 'Platelet-derived growth factor receptor-like protein', 'Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase, receptor class III, conserved site', 'Tyrosine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Protein kinase, ATP binding site', 'Tyrosine-protein kinase, catalytic domain', 'Macrophage colony-stimulating factor 1 receptor', 'Receptor Tyrosine Kinase']"
O-6-methylguanine-DNA methyltransferase,MGMT,34,"Alkylating agents are potent carcinogens that can result in cell death, mutation and cancer. The protein encoded by this gene is a DNA repair protein that is involved in cellular defense against mutagenesis and toxicity from alkylating agents. The protein catalyzes transfer of methyl groups from O(6)-alkylguanine and other methylated moieties of the DNA to its own molecule, which repairs the toxic lesions. Methylation of the genes promoter has been associated with several cancer types, including colorectal cancer, lung cancer, lymphoma and glioblastoma. [provided by RefSeq, Sep 2015].","['Methylated-DNA-[protein]-cysteine S-methyltransferase, active site', 'Methylguanine DNA methyltransferase, ribonuclease-like domain', 'Methylated-DNA-[protein]-cysteine S-methyltransferase, DNA binding', 'Methylated DNA-protein cysteine methyltransferase, DNA binding domain', 'Winged helix-like DNA-binding domain superfamily', 'Methylated DNA-protein cysteine methyltransferase domain superfamily']"
nucleophosmin 1,NPM1,35,"The protein encoded by this gene is involved in several cellular processes, including centrosome duplication, protein chaperoning, and cell proliferation. The encoded phosphoprotein shuttles between the nucleolus, nucleus, and cytoplasm, chaperoning ribosomal proteins and core histones from the nucleus to the cytoplasm. This protein is also known to sequester the tumor suppressor ARF in the nucleolus, protecting it from degradation until it is needed. Mutations in this gene are associated with acute myeloid leukemia. Dozens of pseudogenes of this gene have been identified. [provided by RefSeq, Aug 2017].","['Nucleoplasmin family', 'Nucleoplasmin core domain', 'Nucleophosmin, C-terminal', 'Nucleoplasmin core domain superfamily']"
"NRAS proto-oncogene, GTPase",NRAS,36,"This is an N-ras oncogene encoding a membrane protein that shuttles between the Golgi apparatus and the plasma membrane. This shuttling is regulated through palmitoylation and depalmitoylation by the ZDHHC9-GOLGA7 complex. The encoded protein, which has intrinsic GTPase activity, is activated by a guanine nucleotide-exchange factor and inactivated by a GTPase activating protein. Mutations in this gene have been associated with somatic rectal cancer, follicular thyroid cancer, autoimmune lymphoproliferative syndrome, Noonan syndrome, and juvenile myelomonocytic leukemia. [provided by RefSeq, Jun 2011].","['Small GTPase', 'Small GTP-binding protein domain', 'Small GTPase, Ras-type', 'P-loop containing nucleoside triphosphate hydrolase']"
"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",PIK3CA,37,"Phosphatidylinositol 3-kinase is composed of an 85 kDa regulatory subunit and a 110 kDa catalytic subunit. The protein encoded by this gene represents the catalytic subunit, which uses ATP to phosphorylate PtdIns, PtdIns4P and PtdIns(4,5)P2. This gene has been found to be oncogenic and has been implicated in cervical cancers. A pseudogene of this gene has been defined on chromosome 22. [provided by RefSeq, Apr 2016].","['Phosphatidylinositol 3-kinase Ras-binding (PI3K RBD) domain', 'Phosphatidylinositol 3-/4-kinase, catalytic domain', 'Phosphoinositide 3-kinase, accessory (PIK) domain', 'C2 phosphatidylinositol 3-kinase-type domain', 'Phosphatidylinositol 3-kinase, adaptor-binding domain', 'Protein kinase-like domain superfamily', 'Phosphatidylinositol kinase', 'Armadillo-type fold', 'Phosphatidylinositol 3/4-kinase, conserved site', 'Ubiquitin-like domain superfamily', 'C2 domain superfamily', 'Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily', 'PI3Kalpha, catalytic domain', 'Phosphoinositide 3-kinase, accessory (PIK) domain superfamily']"
platelet derived growth factor receptor alpha,PDGFRA,38,"This gene encodes a cell surface tyrosine kinase receptor for members of the platelet-derived growth factor family. These growth factors are mitogens for cells of mesenchymal origin. The identity of the growth factor bound to a receptor monomer determines whether the functional receptor is a homodimer or a heterodimer, composed of both platelet-derived growth factor receptor alpha and beta polypeptides. Studies suggest that this gene plays a role in organ development, wound healing, and tumor progression. Mutations in this gene have been associated with idiopathic hypereosinophilic syndrome, somatic and familial gastrointestinal stromal tumors, and a variety of other cancers. [provided by RefSeq, Mar 2012].","['Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin-like beta-sandwich domain', 'Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily', 'Platelet-derived growth factor receptor-like protein', 'Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase, receptor class III, conserved site', 'Immunoglobulin subtype 2', 'Tyrosine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Immunoglobulin I-set', 'Protein kinase, ATP binding site', 'Tyrosine-protein kinase, catalytic domain', 'Platelet-derived growth factor receptor alpha', 'Receptor Tyrosine Kinase']"
